Workload Size (i*j*k),Waiting Time in Nanoseconds
931770,105117239
2211300,73857300
579084,36477524
48615120,419276395
68023125,473204625
90660960,564319285
582176,19330964
15346044,274102224
773604,32483891
14336121,223726197
62919450,464943383
57696912,440085401
3934896,67824105
10748560,130136493
527644,32889214
13952016,204788525
6968480,256704380
2210004,70185770
13839904,175297739
10427685,149200843
55508490,435977793
1311856,37266158
22540140,257546949
3453450,58176017
2244396,86126198
1753488,42210312
11431920,139640761
2208249,54577910
28935330,372043662
1334550,33171262
18554248,206695831
1052016,42015334
2447250,42990253
799176,22704336
968688,41013451
11082918,137579253
1642788,35053676
892296,44326903
662592,37005996
4584960,121587760
1216215,30730651
54696250,434551402
11970000,174066041
981783,28100561
3038500,53259548
25456704,280207664
1807982,44885395
51609668,450127598
2888067,57901886
6984640,93665967
31367160,360504215
11898180,167365461
6969344,97438641
9253440,139701304
3925135,62501575
29484,11260672
21230796,247567087
13204620,165850470
5943960,110125725
21654528,253391292
6735110,95261194
44051040,398188044
78129216,530178161
85500,12487931
18258240,239715642
12947088,157394337
28206640,317858640
58294880,454725404
18535545,217205882
4112640,99438053
2056158,47632980
2295612,40717610
1982904,67051085
1363231,53296581
502602,60179644
1009944,42171952
54270,21550150
4209552,103371899
7011900,101161715
16464295,252325938
112632,27323011
8297830,111524191
24917280,297525810
15429972,187134870
12673908,220775648
1163244,40980780
2552904,88839451
11234600,137927086
14943236,188453297
3501828,86353526
12040000,159865147
33926288,362422710
38433120,265457194
2314620,62559984
195052,21370540
856996,30724050
21598380,240875267
976014,23955060
1544832,42004981
41580,23884795
15157152,182024946
72761,44605635
5157216,90909302
37248354,384807446
38023499,390390376
10717056,132457236
1089536,28426680
7491396,100524578
15851502,271305109
10281600,178802692
11641260,140859814
5316480,114464697
73440,26344795
10476760,162677952
330150,17105470
1476000,39754003
2432898,72447941
41917242,390184700
391776,55593385
2944404,49048246
77652960,513757588
23028336,302200436
1190388,36111400
78543900,520290504
