I*J*K,Wait Time
6964248,103260872
32462010,256713701
52764691,438040727
10240734,144172964
2116632,72389274
42259712,398337721
9674852,139621299
9204000,117622811
7627116,98037919
6905712,190327568
28156112,342759059
3316761,77555050
673920,81522825
10881900,137721217
1349856,31849333
51896790,448012655
1701000,34103208
38328276,383967415
10826280,145533570
10494270,196828081
7603800,124415189
1998360,39786303
284900,37722082
13859100,214025333
18453861,220032752
2368548,59698768
27917208,318809526
371712,23781356
3091704,74641645
15907716,217933832
53578360,435045361
27825730,333994600
23860656,283924710
33591915,353412911
1864200,37101847
1189875,58069576
18713352,218973384
28314,22636487
34005592,390097915
30725478,363207585
27304510,391808546
568260,94408725
23474304,259244478
1358880,87275965
1977300,37511038
28666645,405441675
1663369,34253191
11021120,139278358
17543848,209072177
3272256,126776689
31521408,359420116
34106424,372549338
59131800,437078854
8289132,110161254
22302720,272154077
23002848,252177893
16699560,196078626
44377632,407032745
7518555,107903166
11609445,179501791
18434850,211631977
53320860,428267328
4502820,171416565
8878400,128427652
530916,39685913
8082945,156708769
75227152,505242496
30597105,337144474
89861184,540214306
2476584,52386648
1472378,34236852
47087892,405485328
40226420,389705104
9292296,151243018
5273100,82744707
20952000,244093129
738820,25286923
1960920,40519747
30781440,342347525
1911954,62665383
17858925,243526156
9806076,144112108
55684370,460062397
17669106,201258892
3283308,60874660
880803,27205792
18497512,230075041
1796850,56984841
981360,24036849
19020960,211281432
18162264,206473225
3473330,56903179
2006697,38766457
75058060,523645331
34109465,356050229
2893814,52455039
9949800,123568974
7129650,101355380
17732250,209727508
15811488,185419182
8052660,144731221
1292922,59987749
13047300,163955723
11627000,162614791
100294200,562590675
2814736,67672745
4451790,66772589
1715472,40756486
12627552,171632120
3451840,52669238
32884800,369261576
561444,39939227
1793099,36351002
7711620,131328864
13254228,188364993
25593000,279420821
15097050,189549819
3098928,167024347
4697728,65623758
26117940,291606496
26461400,366629443
47266560,444082500
42555760,380376948
5472236,74056985
689966,27197122
20575030,252975730
333822,17120896
10215540,137908792
15817956,198022729
44390892,387742697
30305352,340001020
4867800,70561648
5004648,85317572
15696540,227569113
24476921,270411446
7010400,93454632
30525033,336822116
2234726,64359133
62500500,489416064
11074404,134088939
34219536,364095439
200564,14868632
26236224,299452362
4591498,71197378
1830150,40390283
1963500,35081835
17789760,212975543
3563200,105765484
315234,63679255
33635520,386242391
58201260,444480164
3110448,74892164
212480,12377817
18976896,262323034
7787820,97618355
3388840,107978344
566820,29392695
8132000,124196189
5762184,98336496
23936496,268850046
16252412,194152382
3037320,52987054
8617980,174126433
7754052,140333278
1106950,32844148
44343750,429256614
287264,38593012
74591748,530799538
232750,19270941
17962182,233874584
19404,16067577
5279904,74920382
1275833,41899112
13536422,224208832
12222210,195708504
26814188,306563204
9764268,121125007
15636192,206252043
29779776,339111668
8266125,109357278
11559900,183923717
10958976,133231533
1562160,36125949
10062,10319668
10010000,122419624
2534862,93229495
277200,18282712
3517850,57734085
1960000,36091739
22827336,320437497
21769440,249746488
2258036,39368438
6136128,97778444
10138590,209845235
9624750,121549305
77915808,500779426
9426128,148835965
80441592,520590269
6227170,93021610
34778601,367669835
811188,30056706
42604992,391690234
21940992,259024318
40936320,392051195
5475648,91693421
16801605,187537053
5691184,76058002
27695220,310827349
16052892,265900395
35929760,377608447
30662064,342084336
35873376,402331296
1414875,29490762
5829912,107619237
27377055,393261914
18657240,215702928
3415776,100727542
33883740,362617188
9325792,126221095
12580080,174159552
36492460,415291258
445842,18116702
3754968,57014394
2076165,46505880
9084128,115667036
182854,49797046
852000,34087859
17532900,197133800
7326280,112718673
87100,20393765
18365283,208435749
8056000,149668158
1291050,36165692
4820472,77074391
4909005,106838222
2130030,47121223
2300844,45496560
512071,85646911
12012285,160884929
4202240,139032895
12364000,196627906
2012100,85633237
17232573,189342927
1860727,58785408
35984328,362840589
54937575,417822931
18286968,218131513
12293190,161590527
2630778,54417878
24349380,270841791
3810807,64757438
35608768,363097059
2049740,49090717
11752576,144974678
11469750,151680365
17592705,216952266
1459150,46745547
148575,22525630
2331864,178239865
3116400,55009404
16959200,207180852
2203740,43185346
93462000,554865085
8491944,124920604
